"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2567","Invalid Password (no numbers)","prod","Thu Mar 13 20:17:08 CET 2025","passed","Thu Mar 13 20:17:11 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","3347","Invalid Email format","qa","Thu Mar 13 20:18:03 CET 2025","passed","Thu Mar 13 20:18:06 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","3600","Invalid Last name (only spaces)","qa","Thu Mar 13 20:17:43 CET 2025","passed","Thu Mar 13 20:17:47 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","3845","Empty Last name field","prod","Thu Mar 13 20:16:37 CET 2025","passed","Thu Mar 13 20:16:41 CET 2025","Negative tests","tests\registrationNegative.spec.js","",""
"","861","should display the current number of todo items","qa","Thu Mar 13 20:18:31 CET 2025","passed","Thu Mar 13 20:18:32 CET 2025","Counter","tests-examples\demo-todo-app.spec.ts","",""
"","1893","should hide other controls when editing","prod","Thu Mar 13 20:17:06 CET 2025","passed","Thu Mar 13 20:17:08 CET 2025","Editing","tests-examples\demo-todo-app.spec.ts","",""
"","2715","should allow me to display all items","prod","Thu Mar 13 20:18:16 CET 2025","passed","Thu Mar 13 20:18:18 CET 2025","Routing","tests-examples\demo-todo-app.spec.ts","",""
"","7440","get started link","prod","Thu Mar 13 20:16:10 CET 2025","passed","Thu Mar 13 20:16:17 CET 2025","","tests\example.spec.ts","",""
"","4520","Short Name (21 character)","prod","Thu Mar 13 20:16:26 CET 2025","passed","Thu Mar 13 20:16:31 CET 2025","Negative tests","tests\registration_negative.spec.js","",""
"","3322","should persist its data","prod","Thu Mar 13 20:18:02 CET 2025","passed","Thu Mar 13 20:18:05 CET 2025","Persistence","tests-examples\demo-todo-app.spec.ts","",""
